ff,dd
	ff,ss
	ff,aa
	dd,ss
	dd,aa
	ss,aa
	fr,fv
	de,dc
	sw,sx
	aq,az
	aw,qs
	dr,ef
	qx,zw
	cr,ev
	fr,de
	fv,dc
	sw,aq
	sx,az
	fr,fd
	fv,fd
	aq,sa
	az,sa
	fr,dr
	de,se
	de,wd
	sw,aw
	aq,qs
	vr,fr
	zq,aq
	sx,xw
	dc,ce
	cr,vr
	xe,ce
	zw,xw
	zw,zq
	xr,vr
	xr,xw
	ze,ce
	ze,zq
	ev,wv
	wc,qc
	cr,xr
	xe,ze
	df,fd
	sf,fs
	af,fa
	sd,ds
	ad,da
	as,sa
	ef,fe
	qf,fq
	wd,dw
	qs,sq
	dr,rd
	ar,ra
	se,es
	aw,wa
	ev,ve
	qv,vq
	wc,cw
	qx,xq
	cr,rc
	zr,rz
	xe,ex
	zw,wz
	fg,df
	fg,fr
	ft,fr
	fb,fv
	ft,fg
	fb,fg
	qs,sa
	dr,fd
	qd,ae
	sr,wf
	qc,ze
	xr,wv
	se,wd
	xe,wc
	wd,ds
