jj,kk
jj,ll
jj,;;
kk,ll
kk,;;
kk,;;
ju,jm
ki,"k,"
lo,l.
;p,;/
;o,pl
ku,ij
qx,/o
",u",im
ju,ki
jm,"k,"
lo,;p
l.,;/
ju,jk
jm,jk
;p,l;
;/,l;
ju,ku
ki,li
ki,ok
lo,;o
;p,pl
mu,ju
/p,;p
l.,.o
"k,",",i"
",u",mu
.i,",i"
/o,.o
/o,/p
.u,mu
.u,.o
/i,",i"
/i,/p
im,om
"o,","p,"
",u",.u
.i,/i
kj,jk
lj,jl
;j,j;
lk,kl
;k,k;
;l,l;
ij,ji
pj,jp
ok,ko
pl,lp
ku,uk
;u,u;
li,il
;o,o;
im,mi
pm,mp
"o,",",o"
p.,.p
",u","u,"
/u,u/
.i,i.
/o,o/
jh,kj
jh,ju
jy,ju
jn,jm
jy,jh
jn,jh
pl,l;
ku,jk
pk,;i
lu,oj
"p,",/i
.u,om
li,ok
.i,"o,"
ok,kl
"	",
